,original,matches,match_count
2630,"Turner, Jim",['Jimmy Turner'],1
2631,"Turner, Michael R.",[],0
2632,"Turner, Robert L.",[],0
2633,"Turner, Sylvester",['Sylvester Turner'],1
2634,"Udall, Mark",['Mark Udall'],1
2635,"Udall, Mark",['Mark Udall'],1
2636,"Udall, Morris K.",[],0
2637,"Udall, Tom",['Tom Udall'],1
2638,"Udall, Tom",['Tom Udall'],1
2639,"Ullman, Al",[],0
2640,"Underwood, Lauren",['Lauren Underwood'],1
2641,"Underwood, Robert A.",[],0
2642,"Unsoeld, Jolene",['Jolene Unsoeld'],1
2643,"Upton, Fred",['Fred Upton'],1
2644,"Valadao, David G.",[],0
2645,"Valadao, David G.",[],0
2646,"Valentine, Tim",[],0
2647,"Van Deerlin, Lionel",[],0
2648,"Van Drew, Jefferson",[],0
2649,"Van Duyne, Beth",[],0
2650,"Van Hollen, Chris",[],0
2651,"Van Hollen, Chris",[],0
2652,"Van Orden, Derrick",[],0
2653,"Vance, J. D.",[],0
2654,"Vander Jagt, Guy",[],0
2655,"Vander Veen, Richard F.",[],0
2656,"Vandergriff, Tommy J.",[],0
2657,"Vanik, Charles A.",[],0
2658,"Vargas, Juan",['Juan Vargas'],1
2659,"Vasquez, Gabe",['Gabe Vasquez'],1
2660,"Veasey, Marc A.",[],0
2661,"Vela, Filemon",[],0
2662,"Velázquez, Nydia M.",[],0
2663,"Vento, Bruce F.",[],0
2664,"Veysey, Victor V.",[],0
2665,"Vigorito, Joseph P.",[],0
2666,"Vindman, Eugene Simon",[],0
2667,"Visclosky, Peter J.",[],0
2668,"Vitter, David",['David Vitter'],1
2669,"Vitter, David",['David Vitter'],1
2670,"Voinovich, George V.",[],0
2671,"Volkmer, Harold L.",[],0
2672,"Vucanovich, Barbara F.",[],0
2673,"Waggonner, Joe D., Jr.",[],0
2674,"Wagner, Ann",['Ann Wagner'],1
2675,"Walberg, Tim",['Tim Walberg'],1
2676,"Walberg, Tim",['Tim Walberg'],1
2677,"Walden, Greg",['Greg Walden'],1
2678,"Waldholtz, Enid Greene",[],0
2679,"Waldie, Jerome R.",[],0
2680,"Waldon, Alton R., Jr.",[],0
2681,"Walgren, Doug",[],0
2682,"Walker, Mark",['Mark Walker'],1
2683,"Walker, Robert S.",[],0
2684,"Wallop, Malcolm",[],0
2685,"Walorski, Jackie",['Jackie Walorski'],1
2686,"Walsh, James T.",[],0
2687,"Walsh, Joe",['Joe Walsh'],1
2688,"Walsh, John E.",[],0
2689,"Walsh, William F.",[],0
2690,"Walters, Mimi",['Mimi Walters'],1
2691,"Waltz, Michael",[],0
2692,"Walz, Timothy J.",[],0
2693,"Wamp, Zach",['Zach Wamp'],1
2694,"Wampler, William C.",[],0
2695,"Wampler, William C.",[],0
2696,"Ward, Mike",[],0
2697,"Ware, John H.",[],0
2698,"Warner, John",['John Warner'],1
2699,"Warner, Mark R.",[],0
2700,"Warnock, Raphael G.",[],0
2701,"Warren, Elizabeth",['Elizabeth Warren'],1
2702,"Washington, Craig A.",[],0
2703,"Washington, Harold",[],0
2704,"Wasserman Schultz, Debbie",[],0
2705,"Waters, Maxine",['Maxine Waters'],1
2706,"Watkins, Steve",[],0
2707,"Watkins, Wes",[],0
2708,"Watkins, Wes",[],0
2709,"Watson Coleman, Bonnie",[],0
2710,"Watson, Diane E.",[],0
2711,"Watt, Melvin L.",[],0
2712,"Watts, J. C., Jr.",[],0
2713,"Waxman, Henry A.",[],0
2714,"Weaver, James H.",[],0
2715,"Webb, Jim",[],0
2716,"Weber, Ed",[],0
2717,"Weber, Randy K. Sr.",[],0
2718,"Weber, Vin",[],0
2719,"Webster, Daniel",['Daniel Webster'],1
2720,"Weicker, Lowell P., Jr.",[],0
2721,"Weicker, Lowell P., Jr.",[],0
2722,"Weiner, Anthony D.",[],0
2723,"Weiss, Ted",[],0
2724,"Welch, Peter",['Peter Welch'],1
2725,"Welch, Peter",['Peter Welch'],1
2726,"Weldon, Curt",[],0
2727,"Weldon, Dave",[],0
2728,"Weller, Jerry",[],0
2729,"Wellstone, Paul D.",[],0
2730,"Wenstrup, Brad R.",[],0
2731,"West, Allen B.",[],0
2732,"Westerman, Bruce",['Bruce Westerman'],1
2733,"Westmoreland, Lynn A.",[],0
2734,"Wexler, Robert",['Robert Wexler'],1
2735,"Wexton, Jennifer",['Jennifer Wexton'],1
2736,"Weygand, Robert A.",[],0
2737,"Whalen, Charles W., Jr.",[],0
2738,"Wheat, Alan",['Alan Wheat'],1
2739,"White, Richard C.",[],0
2740,"White, Rick",['Rick White'],1
2741,"Whitehouse, Sheldon",['Sheldon Whitehouse'],1
2742,"Whitehurst, G. William",[],0
2743,"Whitesides, George",['George Whitesides'],1
2744,"Whitfield, Ed",['Ed Whitfield'],1
2745,"Whitley, Charles O., Sr.",[],0
2746,"Whittaker, Bob",[],0
2747,"Whitten, Jamie L.",[],0
2748,"Whitten, Jamie L.",[],0
2749,"Wicker, Roger F.",[],0
2750,"Wicker, Roger F.",[],0
2751,"Widnall, William B.",[],0
2752,"Wied, Tony",['Tony Wied'],1
2753,"Wiggins, Charles E.",[],0
2754,"Wild, Susan",['Susan Wild'],1
2755,"Williams, Brandon",['Brandon Williams'],1
2756,"Williams, Harrison A., Jr.",[],0
2757,"Williams, Harrison A., Jr.",[],0
2758,"Williams, Lawrence G.",[],0
2759,"Williams, Lyle",['Lily Williams'],1
2760,"Williams, Nikema",['Nikema Williams'],1
2761,"Williams, Pat",['Pat Williams'],1
2762,"Williams, Roger",['Roger Williams'],1
2763,"Wilson, Charles",['Charles Wilson'],1
2764,"Wilson, Charles A.",[],0
2765,"Wilson, Charles H.",['Charles Wilson'],1
2766,"Wilson, Frederica S.",[],0
2767,"Wilson, Heather",['Heather Wilson'],1
2768,"Wilson, Joe",[],0
2769,"Wilson, Pete",[],0
2770,"Wilson, Robert C.",[],0
2771,"Winn, Larry, Jr.",[],0
2772,"Wirth, Timothy",[],0
2773,"Wirth, Timothy",[],0
2774,"Wise, Robert E., Jr.",[],0
2775,"Wittman, Robert J.",[],0
2776,"Wofford, Harris",[],0
2777,"Wolf, Frank R.",[],0
2778,"Wolff, Lester L.",[],0
2779,"Wolpe, Howard E.",[],0
2780,"Womack, Steve",['Steve Womack'],1
2781,"Won Pat, Antonio B.",[],0
2782,"Woodall, Rob",['Rob Woodall'],1
2783,"Woolsey, Lynn C.",[],0
2784,"Wortley, George C.",[],0
2785,"Wright, James C., Jr.",[],0
2786,"Wright, Ron",['Ron Wright'],1
2787,"Wu, David",['David Wu'],1
2788,"Wyatt, Joe, Jr.",[],0
2789,"Wyatt, Wendell",[],0
2790,"Wyden, Ron",['Ron Wyden'],1
2791,"Wyden, Ron",['Ron Wyden'],1
2792,"Wydler, John W.",[],0
2793,"Wylie, Chalmers P.",[],0
2794,"Wyman, Louis C.",[],0
2795,"Wyman, Louis C.",[],0
2796,"Wyman, Louis C.",[],0
2797,"Wynn, Albert Russell",[],0
2798,"Yakym, Rudy",[],0
2799,"Yarmuth, John A.",[],0
2800,"Yates, Sidney R.",[],0
2801,"Yates, Sidney R.",[],0
2802,"Yatron, Gus",[],0
2803,"Yoder, Kevin",['Kevin Yoder'],1
2804,"Yoho, Ted S.",[],0
2805,"Young, Andrew",[],0
2806,"Young, C. W. Bill",[],0
2807,"Young, David",['David Young'],1
2808,"Young, Don",[],0
2809,"Young, Edward",[],0
2810,"Young, John",[],0
2811,"Young, Milton R.",[],0
2812,"Young, Robert A.",[],0
2813,"Young, Samuel H.",[],0
2814,"Young, Todd",['Todd Young'],1
2815,"Young, Todd",['Todd Young'],1
2816,"Zablocki, Clement J.",[],0
2817,"Zeferetti, Leo C.",[],0
2818,"Zeldin, Lee M.",[],0
2819,"Zeliff, William H., Jr.",[],0
2820,"Zimmer, Dick",[],0
2821,"Zinke, Ryan K.",[],0
2822,"Zinke, Ryan K.",[],0
2823,"Zion, Roger H.",[],0
2824,"Zorinsky, Edward",[],0
2825,"Zschau, Edwin V. W.",[],0
2826,"Zwach, John M.",[],0
